ext_id,name,kcal,protein,carb,fat,fiber
770060199,COGUMELO EM CONSERVA,50.74,1.87,5.09,3.2,2.4
770060299,CHAMPIGNON EM CONSERVA,50.74,1.87,5.09,3.2,2.4
770070199,ASPARGO EM CONSERVA,19.0,2.14,2.46,0.65,1.6
770090199,REPOLHO EM CONSERVA,19.0,0.91,4.28,0.14,2.9
770090299,CHUCRUTE,19.0,0.91,4.28,0.14,2.9
770110199,LEGUME NAO ESPECIFICADO EM CONSERVA,47.0,2.53,9.06,0.26,2.8
770140499,CREME DE CEBOLA (SOPA DESIDRATADA),46.31,0.82,5.34,2.47,0.2
770140599,CREME DE LEGUMES (SOPA DESIDRATADA),10.55,0.48,2.15,0.02,0.23
770140699,YAKISSOBA,527.0,8.38,57.54,30.76,3.9
770150101,MILHO VERDE COM ERVILHA EM CONSERVA - CRU(A),79.52,3.83,16.81,0.47,2.96
770150102,MILHO VERDE COM ERVILHA EM CONSERVA - COZIDO(A),79.52,3.83,16.81,0.47,2.96
770150105,MILHO VERDE COM ERVILHA EM CONSERVA - FRITO(A),79.52,3.83,16.81,0.47,2.96
770150199,MILHO VERDE COM ERVILHA EM CONSERVA,79.52,3.83,16.81,0.47,2.96
770190199,FEIJOADA,181.59,11.11,16.92,7.9,5.68
770200199,FEIJAO BRANCO COM DOBRADINHA EM CONSERVA,136.38,10.68,10.2,5.91,2.33
770210199,COZIDO,87.33,5.61,7.93,3.79,1.74
770230299,PASTA DE CARNE EM CONSERVA,245.65,9.89,14.1,16.89,0.17
770240299,PASTA DE PRESUNTO EM CONSERVA,276.46,17.86,1.8,21.43,0
770250299,PASTA DE GALINHA EM CONSERVA,214.36,16.39,3.66,14.53,0.25
770260199,CARNE BOVINA EM CONSERVA,242.0,24.22,0,15.42,0
770260299,ALMONDEGA,214.85,20.64,11.0,9.2,0.76
770260399,KITUTE BOVINO,242.0,24.22,0,15.42,0
770260499,ALMONDEGA AO MOLHO EM CONSERVA,203.52,16.16,9.7,10.72,0.91
770270499,KITUTE SUINO,178.0,22.62,0,9.02,0
770270599,PRESUNTADA,178.0,22.62,0,9.02,0
770270701,FIAMBRE - CRU(A),178.0,22.62,0,9.02,0
770270702,FIAMBRE - COZIDO(A),178.0,22.62,0,9.02,0
770270704,FIAMBRE - ASSADO(A),178.0,22.62,0,9.02,0
770270705,FIAMBRE - FRITO(A),178.0,22.62,0,9.02,0
770280199,SALSICHA EM CONSERVA,269.08,8.3,0.27,25.81,0.01
770300299,SARDINHA EM CONSERVA,208.0,24.62,0,11.45,0
770340299,ATUM EM CONSERVA,198.0,29.13,0,8.21,0
770370199,PEPINO EM CONSERVA,12.0,0.6,2.59,0.14,1.1
770390299,PASTA DE PEIXE EM CONSERVA,198.0,29.13,0,8.21,0
770400199,PICLES,12.0,0.6,2.59,0.14,1.1
770520199,NABO EM CONSERVA,43.26,0.87,9.94,0.19,1.59
770540199,STROGONOFF,147.68,12.83,4.12,9.11,0.44
770600199,SALMAO EM CONSERVA,136.0,23.08,0,4.83,0
770610499,CREME DE CEBOLA (SOPA DESIDRATADA) LIGHT,46.31,0.82,5.34,2.47,0.2
770610599,CREME DE LEGUMES (SOPA DESIDRATADA) LIGHT,10.55,0.48,2.15,0.02,0.23
770610699,YAKISSOBA (SOPA DE LEGUMES DESIDRATADA) LIGHT,80.04,3.0,15.61,0.47,0.97
770630299,ATUM EM CONSERVA LIGHT,116.0,25.51,0,0.82,0
780010301,FRANGO INTEIRO - CRU(A),239.0,27.3,0,13.6,0
780010302,FRANGO INTEIRO - COZIDO(A),239.0,27.3,0,13.6,0
780010303,FRANGO INTEIRO - GRELHADO(A)/BRASA/CHURRASCO,239.0,27.3,0,13.6,0
780010304,FRANGO INTEIRO - ASSADO(A),239.0,27.3,0,13.6,0
